TE,species
LTR21C,Homo_sapiens
LTR22A,Homo_sapiens
LTR22B,Homo_sapiens
LTR22B1,Homo_sapiens
LTR22B2,Homo_sapiens
LTR22C2,Homo_sapiens
LTR22E,Homo_sapiens
LTR23,Homo_sapiens
LTR24,Homo_sapiens
LTR24B,Homo_sapiens
LTR24C,Homo_sapiens
LTR25,Homo_sapiens
LTR26,Homo_sapiens
LTR26C,Homo_sapiens
LTR26D,Homo_sapiens
LTR26E,Homo_sapiens
LTR27,Homo_sapiens
LTR2752,Homo_sapiens
LTR27B,Homo_sapiens
LTR27C,Homo_sapiens
LTR27D,Homo_sapiens
LTR27E,Homo_sapiens
LTR28,Homo_sapiens
LTR28B,Homo_sapiens
LTR28C,Homo_sapiens
LTR29,Homo_sapiens
LTR2B,Homo_sapiens
LTR2C,Homo_sapiens
LTR3,Homo_sapiens
LTR30,Homo_sapiens
LTR31,Homo_sapiens
LTR32,Homo_sapiens
LTR34,Homo_sapiens
LTR35,Homo_sapiens
LTR35B,Homo_sapiens
LTR36,Homo_sapiens
LTR37A,Homo_sapiens
LTR37B,Homo_sapiens
LTR38,Homo_sapiens
LTR38A1,Homo_sapiens
LTR38B,Homo_sapiens
LTR38C,Homo_sapiens
LTR39,Homo_sapiens
LTR3B,Homo_sapiens
LTR4,Homo_sapiens
LTR40A,Homo_sapiens
LTR40B,Homo_sapiens
LTR40C,Homo_sapiens
LTR41,Homo_sapiens
LTR41B,Homo_sapiens
LTR41C,Homo_sapiens
LTR42,Homo_sapiens
LTR43,Homo_sapiens
LTR43B,Homo_sapiens
LTR44,Homo_sapiens
LTR45,Homo_sapiens
LTR45B,Homo_sapiens
LTR45C,Homo_sapiens
LTR46,Homo_sapiens
LTR47A,Homo_sapiens
LTR47A2,Homo_sapiens
LTR47B,Homo_sapiens
LTR47B2,Homo_sapiens
LTR48,Homo_sapiens
LTR48B,Homo_sapiens
LTR49,Homo_sapiens
LTR5,Homo_sapiens
LTR50,Homo_sapiens
LTR51,Homo_sapiens
LTR52,Homo_sapiens
LTR53,Homo_sapiens
LTR53B,Homo_sapiens
LTR55,Homo_sapiens
LTR56,Homo_sapiens
LTR57,Homo_sapiens
LTR58,Homo_sapiens
LTR59,Homo_sapiens
LTR5B,Homo_sapiens
LTR60,Homo_sapiens
LTR60B,Homo_sapiens
LTR61,Homo_sapiens
LTR62,Homo_sapiens
LTR64,Homo_sapiens
LTR65,Homo_sapiens
LTR66,Homo_sapiens
LTR69,Homo_sapiens
LTR6A,Homo_sapiens
