,group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
482,4,LOR1a,28.714048,2.2189884,2.5478259710657615e-181,7.643477913197284e-178,0.34276182187409343,0.17704837233318468
483,4,ZNF571-AS1,27.979061,2.8082469,2.9217991293610043e-172,8.765397388083013e-169,0.28169422686393963,0.0989039359729622
484,4,CCDC200,27.860449,1.9583032,8.048303428667215e-171,2.4144910286001645e-167,0.32854656222802436,0.14857887201633535
485,4,TTLL10,27.717665,2.3668451,4.276941684977089e-169,1.2830825054931266e-165,0.2967798085291558,0.11664749923721454
486,4,AC090983.2,27.003849,2.3933315,1.331850416425304e-160,3.995551249275912e-157,0.28952712503626343,0.1149576360691905
487,4,AC012615.6,26.82686,2.649325,1.5708869459172587e-158,4.712660837751776e-155,0.26298230345227736,0.08086699368648344
488,4,CDHR2,26.820974,2.4977672,1.839929202448062e-158,5.519787607344186e-155,0.2650130548302872,0.08141854624826907
489,4,ARHGAP35,26.388987,2.290106,1.8331447497508478e-153,5.499434249252544e-150,0.30954453147664635,0.1509259041941465
490,4,RAB3IP,26.366419,2.2676768,3.327415546498796e-153,9.982246639496388e-150,0.3149115172613867,0.15938695519515572
491,4,HBZ,26.102848,3.5754232,3.384317099802678e-150,1.0152951299408033e-146,0.22323759791122716,0.039946487666345905
492,4,ZNF649,25.623028,1.9606342,8.450998951213486e-145,2.5352996853640457e-141,0.317522483318828,0.1631891473232098
493,4,COL9A3,25.548086,2.819571,5.766213006708505e-144,1.7298639020125515e-140,0.24775166811720337,0.07437744971483559
494,4,ARL4AP2,25.309948,3.1052282,2.482433671447599e-141,7.447301014342797e-138,0.22686393965767335,0.04993310958293238
495,4,RAB11FIP4,25.035028,2.0664635,2.5415157450498453e-138,7.624547235149536e-135,0.2854656222802437,0.12157626681061798
496,4,PAOX,24.92976,2.4933743,3.540392656365937e-137,1.0621177969097812e-133,0.27139541630403247,0.11141361748069566
497,4,FAM187B,24.736149,1.611103,4.369975445439051e-135,1.3109926336317152e-131,0.32230925442413694,0.158389466519586
498,4,OSGIN1,24.034973,2.9974031,1.1987802564562703e-127,3.596340769368811e-124,0.22526834928923703,0.06016616987818903
499,4,AC139722.1,23.270863,3.4727585,8.748238285442486e-120,2.6244714856327456e-116,0.20118944009283435,0.0376111906494238
500,5,MALAT1,80.58622,3.4751165,0.0,0.0,0.9947051036917194,0.7009459728750776
